State,District,Latitude,Longitude,District code,Population,Male,Female,Households_with_Internet,Male_Literate,Female_Literate,Total_Power_Parity,literacy_rate,sex_ratio
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,5512,856350,626997,4181,54.0,100.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,8606,1338474,972486,5799,57.0,98.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,13763,1484794,1183084,5926,64.0,100.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,22411,1716933,1571644,7211,64.0,101.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,19383,1634726,1325715,6981,61.0,100.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,149034,1542688,1349467,11071,73.0,95.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,8831,1257238,949591,5251,58.0,101.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,8628,901640,728594,3836,58.0,101.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,30438,1598959,1410759,6983,67.0,99.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,10081,1246369,880792,5301,52.0,99.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,6153,1158386,782260,4695,48.0,98.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,8635,953406,683731,3874,54.0,99.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,7715,1160757,840262,4468,57.0,98.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,5261,790214,599596,3458,54.0,104.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,6151,1107686,796749,4304,56.0,98.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,3988,857824,637557,3301,55.0,101.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,4453,707503,530885,3103,53.0,102.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,12952,1179790,885233,4762,59.0,100.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,12050,1379223,1273166,5485,67.0,100.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,170,44027,29147,348,49.0,93.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,57,21599,16850,348,49.0,103.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,50116,49098,450,34210,28366,644,63.0,98.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,95,20258,16348,348,40.0,103.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,312,48380,34682,348,57.0,91.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,207,18087,13762,348,59.0,93.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,381,29470,24587,348,65.0,98.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,2477,65794,55254,644,69.0,98.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,96,17720,8353,348,52.0,71.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,98,29313,18661,348,43.0,94.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,97,10723,7472,348,52.0,89.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,139,24807,20471,348,54.0,100.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,202,29566,18926,348,58.0,82.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,303,36777,27969,348,58.0,93.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,2078,499038,398020,348,53.0,95.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,2523,237114,196964,348,59.0,97.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,5316,639946,534182,348,68.0,96.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,1166,268666,218373,348,52.0,95.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,1192,237761,185267,348,62.0,95.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,8817,491361,393170,348,67.0,96.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,1364,304302,259275,348,56.0,96.0
